Galaxy,T,Q,n_total,position,r_sh_kpc,M_sh,sigma_sh_kpc,sigma_over_r,r_over_RHI,V_gas_at_kms,V_disk_at_kms,V_bulge_at_kms,is_disk_dominated,is_inner,is_bulge_dom,is_bulgeless,is_clean
ESO079-G014,4,1,1,single,6.3615300803134165,23592924771.75134,2.017006967420702,0.3170631816491119,0.36001868026674677,10.28459024094025,96.35989190647314,0.0,True,True,False,True,False
ESO563-G021,4,1,2,inner,4.797837587225713,32349919698.78791,0.6106762073611,0.1272815505441516,0.08612165835982252,0.0,173.73182914489553,0.0,True,True,False,True,True
ESO563-G021,4,1,2,outer,7.641446205564531,49999999999.99999,1.0582778964405917,0.13849183360997158,0.13716471379580922,0.0,229.55512332016966,0.0,True,False,False,True,False
IC2574,9,2,1,single,2.448790381555648,334303179.0842196,0.7084278015617441,0.28929703697696646,0.2265301000514013,6.476407039383077,18.35138909202501,0.0,True,True,False,True,False
IC4202,4,1,2,inner,3.877137327004502,11875372266.073675,0.1213705293287308,0.031304160542206624,0.12067031830079371,0.07997122645847361,89.95986948032377,173.4046973584443,True,True,True,False,True
IC4202,4,1,2,outer,6.294970801715148,26110026482.54804,0.8725653563140227,0.13861309032224275,0.19592190481528626,0.0,133.2404557718289,158.93963712217055,True,False,True,False,False
NGC0024,5,1,1,single,9.442689065799032,12243921609.712854,1.751080003053968,0.18544293800759531,1.2952934246637904,23.304130089588803,44.45269620530983,0.0,True,True,False,True,False
NGC0247,7,2,1,single,2.0444986303785564,1917099817.968109,0.7561132383000448,0.369828195071984,0.15985133935719753,5.2740614922146465,33.58071902807169,0.0,True,True,False,True,False
NGC0289,4,2,1,single,7.939085794442031,38225125710.56245,1.940752654669335,0.24445543289480645,0.1603531770236726,9.1508694108061,194.74553647961463,0.0,True,True,False,True,False
NGC0801,5,1,1,single,3.0817331240052743,26872996384.84481,1.2326932496021097,0.39999999999999997,0.06849818012903476,6.694632474188231,272.16441746289763,0.0,True,True,False,True,True
NGC0891,3,1,1,single,8.75943192509635,36945095194.72296,1.622988680085342,0.18528469585286372,0.48234757296786074,15.803113039499154,254.6643611914051,96.41207104035914,True,True,True,False,False
NGC1003,6,1,1,single,5.234523086185244,9589294524.085436,1.8826450330188071,0.3596593236903306,0.15705139772532986,18.836653222624882,79.42371788492368,0.0,True,True,False,True,True
NGC1090,4,1,1,single,4.657117675873941,18166496635.7483,1.0381282683649993,0.22291218316062567,0.15274246231137886,-8.770261996395067,151.06345344885915,0.0,True,True,False,True,True
NGC2403,6,1,2,inner,1.0144162212380656,1332083982.7938464,0.3989116204191171,0.39324254883489246,0.06713542165705266,4.210456774333229,76.09436497785649,0.0,True,True,False,True,True
NGC2403,6,1,2,outer,4.3973719715666,8710670449.767372,1.1790007676529866,0.2681148593469926,0.291023955762184,25.13141035290432,99.86827098142395,0.0,True,False,False,True,False
