Galaxy,T,V_flat,v7_n_shells,v7_burk_rho0,v7_burk_a,n_pts,n0_rho0,n0_a,n0_chi2,n0_bic,n1_rho0,n1_a,n1_chi2,n1_bic,n2_rho0,n2_a,n2_chi2,n2_bic,n_selected,delta_rho0_select,delta_a_select,log_ratio_rho0,ratio_a,delta_rho0_n2,delta_a_n2,log_ratio_rho0_n2,ratio_a_n2
ESO079-G014,4,175.0,1,32069384.1192912,8.029104411232685,15,32069391.130413182,8.029103217719822,13.31641321352435,18.73251361572877,7358522.754098786,19.607639140329347,2.6044146344978505,16.144665640008903,11042008.438925667,14.393743202808476,2.276900991058987,23.941302599876668,1,-24710868.376314394,11.578535922609525,-0.6393000773449293,2.4420708774868265,-21027382.691487513,6.364639985088655,-0.46304263977337784,1.7926962467043914
ESO116-G012,7,109.1,0,66532905.7684749,3.638672747809424,15,66532913.691952,3.63867250824458,10.133685614972544,15.549786017176963,51427431.761371806,3.791863715477285,4.972848527021036,18.513099532532088,25399988.94979183,5.542062559688763,3.1550076899095227,24.8194092987272,0,0.0,0.0,0.0,1.0,-41132924.74216017,1.9033900514441835,-0.4182030153444724,1.5231001270742126
ESO563-G021,4,314.6,2,83788777.79692943,8.723264440653686,27,83788814.27300006,8.723261849915172,168.07098530185831,174.662659033867,31064386.938215163,13.742898699365652,33.165426990135146,49.64461132015679,17119759.94566952,18.815578118784448,8.054950568160226,34.421645496194856,2,-66669054.327330545,10.092316268869276,-0.6896883739199232,2.156942946630384,-66669054.327330545,10.092316268869276,-0.6896883739199232,2.156942946630384
F568-V1,7,112.3,0,114107756.41358398,2.992960829210267,15,114107756.02012688,2.9929608356503308,0.6970514203787315,6.113151822583152,118575995.68201551,2.84700970155108,0.5253064479183016,14.065557453429353,3693548.723262346,18.584462864179496,0.01646900899008338,21.680870617807763,0,0.0,0.0,0.0,1.0,-110414207.29686454,15.591502028529165,-1.4898713324901118,6.209390595029734
F571-8,5,139.7,0,29068745.066364277,8.157272934566318,9,29068745.282857127,8.15727288276725,9.308725794077738,13.703174948750178,10488786.558350295,13.528095504050832,3.334081099142728,14.320203985823827,4141272.5091370204,28.857974159215143,0.05038590692804741,17.628182525617802,0,0.0,0.0,0.0,1.0,-24927472.773720108,20.700701276447894,-0.8462924769548109,3.5376987596160254
F571-V1,7,83.6,0,17634953.418500338,5.440086177585878,7,17634953.272519767,5.440086206721696,0.1569246811791729,4.0487449792898,13064837.937719392,6.21813679584887,0.01657500726314709,9.746125752539713,15431537.157779926,5.797626042610498,0.11088428500446922,15.678165477446974,0,0.0,0.0,0.0,1.0,-2203416.114739841,0.35753983588880267,-0.057965124330733406,1.0657231930345206
F574-1,7,97.8,0,53940499.73553294,3.5408736135661827,14,53940496.93371026,3.540873724929043,1.1309324298443997,6.4090470890749165,33063480.83987812,4.375782556112134,0.08538114204712398,13.280667790123417,38802168.372339405,3.7616293901600297,0.015756587057906286,21.128215223979975,0,0.0,0.0,0.0,1.0,-15138328.561370857,0.22075566523098678,-0.14305894728110968,1.062344969739188
F583-1,9,85.8,0,25830814.683669742,4.588203947974259,25,25830812.950103015,4.588204222436917,4.480803244331499,10.9185548940679,18149031.04852855,5.151914507999832,2.5419190329825065,18.63629815732351,17781614.131630156,5.116013477057247,1.672519360405972,27.423525959351576,0,0.0,0.0,0.0,1.0,-8049198.8184728585,0.5278092546203297,-0.1621668929085285,1.1150361293944313
IC2574,9,66.4,1,4475181.534475452,10.81727880304276,34,4475181.427444798,10.817279250064413,41.82053157116985,48.87325262040218,2303186.3572973087,76.84799516982078,13.370371518119182,31.00217414119999,4649434.504761946,1.8038000246714936,7.158475042325245,35.369359239254536,1,-2171995.070147489,66.03071591975636,-0.2884815672794117,7.104188899381809,174253.07731714845,-9.013479225392919,0.016589487654659854,0.16675172961451953
IC4202,4,242.6,2,67070145.92413735,6.556600890462001,29,67070145.87376691,6.556600898352629,85.50909575933565,92.2436874193086,9974300.576247802,18.76000837090667,31.700081239829196,48.53656038976156,9777929.802911429,19.1162086161763,9.617517697780405,36.5558843376722,2,-57292216.070855476,12.559607717823672,-0.8362823358277416,2.91556690921653,-57292216.070855476,12.559607717823672,-0.8362823358277416,2.91556690921653
NGC0024,5,106.3,1,384963086.2111849,1.547108646470732,29,384962943.8457707,1.5471089438462184,21.14802776144917,27.88261942142212,503385402.9851884,1.2283698669922232,3.121702057404947,19.958181207337315,13957951.790441481,8.722272215337854,0.6122913889486272,27.55065802884042,1,118422459.13941771,-0.3187390768539953,0.11648169109649553,0.7939776134564976,-371004992.05532926,7.175163271491636,-1.4405972327839682,5.637787985152287
NGC0055,9,85.6,0,11695677.523069194,6.798098936105254,21,11695676.64895474,6.7980994101620755,9.17579931577864,15.264844191225485,4749362.067117296,9.716055557113547,1.7085556601868142,16.93116784880393,9091237.732191756,6.93711185688968,0.6192362917023945,24.975415793489777,0,0.0,0.0,0.0,1.0,-2604438.9167629834,0.13901244672760438,-0.10940233827671617,1.0204487222590188
NGC0100,6,88.1,0,27482929.52217859,4.737039354047202,21,27482931.598686285,4.7370390512889085,1.6254208024227792,7.714465677869625,25743374.7343632,4.816145621280211,1.1378439692919928,16.36045615790911,7151162.005614381,13.026117724200219,0.11055533611592193,24.466734837903306,0,0.0,0.0,0.0,1.0,-20331769.593071904,8.28907867291131,-0.5846864401086872,2.7498438546027866
