subsample,predictor,coef,se,z,p_value
FULL,(intercept),0.151833,0.321766,0.471872,0.637018
FULL,T_z,-0.043775,0.476348,-0.091898,0.926779
FULL,is_bulge_dom,-0.304273,0.836529,-0.363733,0.716057
FULL,log_N_pts_z,1.361197,0.350240,3.886466,0.000102
FULL,log_mean_V_err_z,-1.056811,0.362928,-2.911900,0.003592
FULL,cos_inc_z,-0.221066,0.272605,-0.810937,0.417402
FULL,log_L36_z,1.189565,0.472546,2.517354,0.011824
A_top_Npts,(intercept),1.993842,0.701479,2.842341,0.004478
A_top_Npts,T_z,0.170848,0.748978,0.228108,0.819562
A_top_Npts,is_bulge_dom,-1.151878,1.195588,-0.963441,0.335326
A_top_Npts,log_N_pts_z,1.986940,0.771822,2.574351,0.010043
A_top_Npts,log_mean_V_err_z,-0.348632,0.457019,-0.762839,0.445560
A_top_Npts,cos_inc_z,0.005500,0.426922,0.012882,0.989722
A_top_Npts,log_L36_z,1.453980,0.701026,2.074074,0.038072
B_bot_Verr,(intercept),0.131119,0.398219,0.329265,0.741956
B_bot_Verr,T_z,0.237356,0.593984,0.399600,0.689451
B_bot_Verr,is_bulge_dom,-2.984636,1.623929,-1.837910,0.066076
B_bot_Verr,log_N_pts_z,0.652614,0.440394,1.481885,0.138371
B_bot_Verr,log_mean_V_err_z,-1.608484,0.551017,-2.919119,0.003510
B_bot_Verr,cos_inc_z,-0.624734,0.423779,-1.474197,0.140429
B_bot_Verr,log_L36_z,1.932438,0.762253,2.535166,0.011239
C_both_quality_cuts,(intercept),1.788844,1.038806,1.722020,0.085066
C_both_quality_cuts,T_z,0.537715,1.079178,0.498264,0.618298
C_both_quality_cuts,is_bulge_dom,-18.686833,1134.077932,-0.016478,0.986853
C_both_quality_cuts,log_N_pts_z,1.570494,1.397480,1.123805,0.261096
C_both_quality_cuts,log_mean_V_err_z,-1.852232,1.166990,-1.587188,0.112470
C_both_quality_cuts,cos_inc_z,-0.431893,0.840750,-0.513700,0.607462
C_both_quality_cuts,log_L36_z,3.075457,1.697556,1.811696,0.070033
D_within_T_top_Npts,(intercept),1.755034,0.651227,2.694966,0.007040
D_within_T_top_Npts,T_z,0.897501,0.767702,1.169074,0.242374
D_within_T_top_Npts,is_bulge_dom,-2.357154,1.347624,-1.749119,0.080271
D_within_T_top_Npts,log_N_pts_z,2.021474,0.690165,2.928972,0.003401
D_within_T_top_Npts,log_mean_V_err_z,-0.139588,0.497420,-0.280623,0.778999
D_within_T_top_Npts,cos_inc_z,-0.328847,0.431700,-0.761750,0.446209
D_within_T_top_Npts,log_L36_z,2.408045,0.821981,2.929562,0.003394
