method,predictor,coef,se,z,p_value,ci_lower,ci_upper,importance
logistic,(intercept),0.151833,0.321766,0.471872,0.637018,-0.478818,0.782483,
logistic,T_z,-0.043775,0.476348,-0.091898,0.926779,-0.977400,0.889849,
logistic,is_bulge_dom,-0.304273,0.836529,-0.363733,0.716057,-1.943839,1.335293,
logistic,log_N_pts_z,1.361197,0.350240,3.886466,0.000102,0.674739,2.047656,
logistic,log_mean_V_err_z,-1.056811,0.362928,-2.911900,0.003592,-1.768138,-0.345484,
logistic,cos_inc_z,-0.221066,0.272605,-0.810937,0.417402,-0.755362,0.313231,
logistic,log_L36_z,1.189565,0.472546,2.517354,0.011824,0.263392,2.115738,
random_forest,T_z,,,,,,,0.090687
random_forest,is_bulge_dom,,,,,,,0.021629
random_forest,log_N_pts_z,,,,,,,0.310443
random_forest,log_mean_V_err_z,,,,,,,0.199260
random_forest,cos_inc_z,,,,,,,0.149241
random_forest,log_L36_z,,,,,,,0.228740
