Galaxy,realization,D_nominal_Mpc,D_perturbed_Mpc,distance_factor,e_D_Mpc,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
IC4202,0,100.4,94.27153592678742,0.9389595211831416,10.0,ok,2,29,12435979.37228595,16.72599142401029,7.572665784004734,0.360603132571654,34.51103242389652,5.897583798249395,23933523092.679398,0.8042658097129094,0.13637208681149102,3.520557824134315,12297486048.996016,0.29905083340391037,0.08494416178988488
ESO563-G021,0,60.8,77.55641529967296,1.2755989358498843,9.1,ok,2,27,13936970.21820934,19.67955146190863,35.84703894745257,1.8866862603922403,62.2137338754872,8.629869052497295,32018134690.985367,0.9036005602027743,0.10470617279427805,5.7626147088208866,22022438756.150585,0.13873596304591912,0.024075175949826166
F571-8,0,53.3,48.617791683231566,0.9121536901169149,10.7,ok,0,9,37215983.152314626,7.168096159884695,7.656226413065836,1.0937466304379766,12.050675567738274,,,,,,,,
NGC0055,0,2.11,2.0123186325897335,0.9537055130757032,0.11,ok,0,21,13550777.99656253,6.345326741367611,8.621446005395887,0.45376031607346773,14.710490880842734,,,,,,,,
F568-V1,0,80.6,91.92084062727042,1.1404570797428093,8.06,ok,0,15,86856456.66257326,3.398989788508945,0.7179594819437176,0.05522765245720905,6.1340598841481375,,,,,,,,
NGC0024,0,7.3,7.642299758125544,1.046890377825417,0.36,ok,1,29,453093799.1040778,1.2844868215782752,3.1724640559304644,0.132186002330436,20.008943205862835,9.891243639722079,13060694320.501917,1.8598909073380632,0.1880340809591383,,,,
ESO079-G014,0,28.7,34.46731031760961,1.2009515790107879,7.17,ok,1,15,4436826.493403342,25.482647803324046,2.8982509999243926,0.2898250999924393,16.438502005435442,7.406391355890212,24776211919.692257,2.1308274290378026,0.28770116601294393,,,,
NGC0801,0,80.7,82.10943342558583,1.0174650982104811,8.07,ok,1,11,2786915.6418156335,29.886912296992083,8.16530374071435,1.360883956785725,20.154780104706205,3.115945556935958,26049990218.872982,1.2463782227743831,0.39999999999999997,,,,
NGC1003,0,11.4,11.638210013577947,1.0208956152261357,3.42,ok,1,36,2180143.5446455227,23.25908044759847,30.696019870442036,0.990194189369098,48.61361456272259,5.358742953591496,9673143066.190573,1.9079793206210915,0.35604979323412783,,,,
NGC0289,0,20.8,30.116907002209455,1.44792822126007,5.2,ok,1,24,1436114.6497515205,33.3068039102056,30.390486604757225,1.5994992949872224,46.28075575649695,11.929881438742976,31242822616.141052,0.4282264085255279,0.03589527781347751,,,,
NGC2403,0,3.16,3.4436765670296903,1.0897710655157247,0.16,ok,2,73,7880683.383117713,12.931323889003389,46.815562832940465,0.720239428199084,81.1392383621276,1.0866932134873872,1286569338.6798613,0.4234712344868326,0.38968793513289723,4.867115886415542,9270416154.984484,1.2566674246837672,0.25819550099294186
NGC2683,0,9.81,10.489922078568972,1.069309080384197,0.49,ok,0,11,75211193.8799284,4.714041346739409,6.29521069704591,0.6994678552273234,11.091001242642651,,,,,,,,
NGC2841,0,14.1,13.634651883209433,0.966996587461662,1.4,ok,2,50,30307600.774217643,12.744522823384191,131.44144366799793,3.129558182571379,162.7376277114231,1.081313232275535,32383197647.130768,0.027098155289558338,0.02506041217356833,5.6164133273395,39708052508.133446,1.1513388342355542,0.2049953888954509
NGC1090,0,37.0,48.67204366150957,1.3154606395002586,9.25,ok,1,21,2544576.374863212,23.25801056947868,12.059937367195651,0.7537460854497282,27.282549555812764,5.23057949756,13095224991.167238,0.2542633811224597,0.04861093904433924,,,,
ESO116-G012,0,13.0,16.057091231010215,1.2351608639238627,3.9,ok,0,15,36404536.35719259,4.827132876836199,9.706918664289624,0.7466860510992018,15.123019066494045,,,,,,,,
NGC0100,0,13.5,15.160216592997216,1.1229790068886827,4.05,ok,0,20,19476363.989806574,5.639732914590529,1.6777902407456513,0.09321056893031396,7.6692547878536335,,,,,,,,
NGC2903,0,6.6,8.545716929686963,1.2948055954071156,1.98,ok,1,22,3834837.489751313,23.588661219242354,20.132169385539115,1.184245257972889,35.58738165233069,10.857074221500048,25524546641.000584,1.8711242709271363,0.1723414828666996,,,,
NGC3769,0,18.0,18.136638858610226,1.007591047700568,2.5,ok,0,11,22190000.62725993,6.62751158433977,5.679558365320796,0.6310620405911995,10.475348910917537,,,,,,,,
NGC2998,0,68.1,73.21818052116251,1.075156835846733,10.2,ok,1,13,10153360.320070812,15.286744682908923,6.5940951586308225,0.8242618948288528,19.418841945938507,2.181866778241861,16470611072.896635,0.8727467112967443,0.39999999999999997,,,,
NGC3949,0,18.0,20.645633801234688,1.1469796556241494,2.5,ok,0,6,9225954.446139034,199.99999999823186,0.5027444672500258,0.12568611681250644,4.086263405706136,,,,,,,,
