Galaxy,realization,Inc_nominal_deg,Inc_perturbed_deg,e_Inc_deg,vobs_factor,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
ESO563-G021,0,83.0,87.87901603493698,3.0,0.9932266048387156,ok,2,27,16154187.79944903,19.269657461121156,7.815488631213254,0.4113415069059608,34.18218355924789,7.653012690684885,49999999999.99999,1.0701825309753712,0.1398380708656055,4.7964647137283665,31865603872.853577,0.6087698513202516,0.12692053161109265
IC4202,0,90.0,89.0,1.0,1.0001523280439077,ok,2,29,9790994.711866548,19.10311930063002,9.606421848589173,0.45744865945662727,36.54478848848097,5.999999999999999,25919423346.57996,0.9744331765241201,0.1624055294206867,3.90815876564469,9432916243.494793,0.03933013624421438,0.010063597361998798
F574-1,0,65.0,36.15692962166129,10.0,1.5361177763110017,ok,0,14,144749211.08174306,3.5236140624062178,0.8344458264018059,0.06953715220015048,6.112560485632323,,,,,,,,
ESO116-G012,0,74.0,76.11201215786963,3.0,0.9902086388972771,ok,0,15,64287015.72707025,3.6594028068388855,10.075419956731036,0.7750323043639258,15.491520358935457,,,,,,,,
F568-V1,0,40.0,53.14291291913923,10.0,0.8033498185358566,ok,0,15,70771509.3783465,2.9421647922845073,0.7949038037549767,0.061146446442690516,6.211004205959397,,,,,,,,
NGC0289,0,46.0,53.40267443563708,5.0,0.895988051625224,ok,1,26,2511672.7569398605,23.081221017021893,32.68238855480492,1.5563042168954726,48.972871244912334,8.545875314552173,23817865298.30996,1.3753880717566944,0.16094174337117256,,,,
NGC0801,0,80.0,80.17314336233262,1.0,0.99947199940672,ok,1,11,2983523.4418950197,28.873196475876423,8.384672175212085,1.3974453625353476,20.374148539203937,3.0806726157543958,26768772639.894653,1.2322690463017583,0.39999999999999997,,,,
ESO079-G014,0,79.0,82.66483839552089,5.0,0.9897268326284324,ok,1,15,7049522.892118284,19.90949307805348,2.6387380003387495,0.26387380003387495,16.1789890058498,6.34704987003219,22910492916.768425,1.9982000056893845,0.3148234292476499,,,,
F571-V1,0,30.0,23.53134479469448,10.0,1.2523459408574142,ok,0,7,31520458.18830237,5.278716530374773,0.14735566649314766,0.02947113329862953,4.039175964603774,,,,,,,,
NGC1003,0,67.0,67.3446716029236,5.0,0.9974710275547399,ok,1,36,2264894.1751911254,22.770199283170427,30.552763654927357,0.985573021126689,48.470358347207906,5.2380143705333495,9513268475.509619,1.879359903236111,0.35879242978188874,,,,
NGC0024,0,64.0,66.78764036569325,3.0,0.9779595403714345,ok,1,29,443182188.0452419,1.3049640001969878,4.363411999739546,0.1818088333224811,21.199891149671917,8.579837366883813,7902999207.292198,0.1802319700766743,0.02100645529393459,,,,
NGC2403,0,63.0,68.0935828207539,3.0,0.9603490320457756,ok,2,73,8724449.432666471,11.787589549208178,46.70064600856928,0.718471477054912,81.0243215377564,0.9984808864365463,1098423613.0005198,0.3894250765372116,0.3900175574987931,4.454976756921013,7816840043.822181,1.1486084425067646,0.25782591137481203
NGC2683,0,80.0,86.70811009674186,5.0,0.986435416154795,ok,0,11,98289504.45022851,4.137863501971917,6.2472237301160725,0.694135970012897,11.043014275712814,,,,,,,,
NGC2903,0,66.0,68.58360564505715,3.0,0.9813030879912357,ok,1,26,18269214.137042258,9.737496864862226,14.784269421336566,0.7040128295874555,31.074752111443978,7.266629798454898,15704533259.718084,1.8035954544371315,0.24820246860802372,,,,
NGC2841,0,76.0,72.61999709516782,10.0,1.0167141779205233,ok,1,50,48532792.67425147,10.518732410061455,157.0855228471703,3.4907893966037844,176.64563787431103,3.730301657979984,49999999999.99867,1.1965903029927785,0.32077574756802657,,,,
NGC0247,0,74.0,67.7210328156085,3.0,1.0388099479306525,ok,1,26,9042001.15407581,11.469091016133508,1.3887744841513043,0.06613211829291925,17.679257174258716,2.0467273382787297,2095902883.125108,0.7594363465334797,0.3710491047489284,,,,
F571-8,0,85.0,82.70992357629609,5.0,1.0043131283585471,ok,0,9,29501183.709372085,8.127428944119071,9.138708220747183,1.3055297458210262,13.533157375419623,,,,,,,,
NGC3198,0,73.0,71.2544455920525,3.0,1.0098734238653917,ok,2,40,3208807.919160416,20.15252946639978,14.547899558013823,0.45462186118793196,44.05893519092531,3.2287510232291052,5304395213.516633,0.9900326310945577,0.3066302183016938,8.932256781480913,32968322553.371273,3.385282173541205,0.37899516957011914
NGC3109,0,70.0,78.6902229220398,5.0,0.9583016822208539,ok,0,25,19002531.388278466,4.727915675168823,3.3476972373382132,0.14555205379731362,9.785448887074615,,,,,,,,
