gNFW fits producer log
Started: 2026-05-21 15:21:06
Workers: 18, Time budget: 90s
========================================================================
  [1/102] F571-8: best n_shells=1, chi2_r=1.18, gnfw0_gamma=0.00, n_pts=9, t=2.6s
  [2/102] ESO563-G021: best n_shells=2, chi2_r=2.85, gnfw0_gamma=0.00, n_pts=27, t=2.7s
  [3/102] NGC0289: best n_shells=0, chi2_r=1.92, gnfw0_gamma=1.53, n_pts=28, t=4.7s
  [4/102] NGC0801: best n_shells=1, chi2_r=0.32, gnfw0_gamma=1.74, n_pts=11, t=6.1s
  [5/102] ESO079-G014: best n_shells=1, chi2_r=0.36, gnfw0_gamma=0.00, n_pts=15, t=6.5s
  [6/102] NGC0247: best n_shells=1, chi2_r=0.10, gnfw0_gamma=0.76, n_pts=26, t=8.3s
  [7/102] NGC2683: best n_shells=0, chi2_r=0.84, gnfw0_gamma=0.00, n_pts=11, t=3.5s
  [8/102] NGC2903: best n_shells=1, chi2_r=0.98, gnfw0_gamma=0.00, n_pts=29, t=3.1s
  [9/102] NGC1003: best n_shells=1, chi2_r=1.12, gnfw0_gamma=1.33, n_pts=36, t=12.2s
  [10/102] NGC2998: best n_shells=0, chi2_r=0.87, gnfw0_gamma=1.67, n_pts=13, t=5.8s
  [11/102] NGC1090: best n_shells=1, chi2_r=0.60, gnfw0_gamma=0.00, n_pts=22, t=15.7s
  [12/102] IC4202: best n_shells=2, chi2_r=0.53, gnfw0_gamma=0.00, n_pts=29, t=20.9s
  [13/102] NGC0024: best n_shells=0, chi2_r=0.58, gnfw0_gamma=0.00, n_pts=29, t=24.5s
  [14/102] F571-V1: best n_shells=0, chi2_r=0.12, gnfw0_gamma=0.00, n_pts=7, t=25.8s
  [15/102] NGC3769: best n_shells=0, chi2_r=0.76, gnfw0_gamma=0.00, n_pts=11, t=1.9s
  [16/102] NGC3877: best n_shells=0, chi2_r=0.94, gnfw0_gamma=0.00, n_pts=11, t=5.1s
  [17/102] NGC3726: best n_shells=1, chi2_r=1.05, gnfw0_gamma=1.09, n_pts=12, t=10.2s
  [18/102] F574-1: best n_shells=0, chi2_r=0.37, gnfw0_gamma=0.00, n_pts=14, t=36.1s
  [19/102] NGC3953: best n_shells=0, chi2_r=0.25, gnfw0_gamma=0.00, n_pts=8, t=5.1s
  [20/102] NGC0100: best n_shells=0, chi2_r=0.15, gnfw0_gamma=0.00, n_pts=21, t=46.8s
  [21/102] NGC3917: best n_shells=1, chi2_r=0.32, gnfw0_gamma=0.00, n_pts=16, t=19.0s
  [22/102] NGC3949: best n_shells=0, chi2_r=0.43, gnfw0_gamma=0.49, n_pts=7, t=20.6s
  [23/102] NGC4010: best n_shells=1, chi2_r=0.22, gnfw0_gamma=0.00, n_pts=12, t=4.9s
  [24/102] NGC4013: best n_shells=0, chi2_r=0.84, gnfw0_gamma=1.34, n_pts=36, t=6.9s
  [25/102] NGC3992: best n_shells=0, chi2_r=0.46, gnfw0_gamma=1.38, n_pts=9, t=12.0s
  [26/102] NGC4085: best n_shells=0, chi2_r=0.58, gnfw0_gamma=0.75, n_pts=5, t=3.6s
  [27/102] NGC3109: best n_shells=0, chi2_r=0.22, gnfw0_gamma=0.00, n_pts=25, t=53.0s
  [28/102] NGC3893: best n_shells=0, chi2_r=0.64, gnfw0_gamma=0.00, n_pts=10, t=41.5s
  [29/102] NGC3972: best n_shells=0, chi2_r=0.76, gnfw0_gamma=0.00, n_pts=10, t=27.7s
  [30/102] NGC4183: best n_shells=0, chi2_r=0.16, gnfw0_gamma=0.69, n_pts=23, t=3.1s
  [31/102] F568-V1: best n_shells=0, chi2_r=0.10, gnfw0_gamma=0.00, n_pts=15, t=72.3s
  [32/102] NGC2976: best n_shells=0, chi2_r=0.28, gnfw0_gamma=0.00, n_pts=24, t=63.7s
  [33/102] NGC5005: best n_shells=0, chi2_r=0.04, gnfw0_gamma=0.00, n_pts=13, t=2.6s
  [34/102] NGC5055: best n_shells=1, chi2_r=2.50, gnfw0_gamma=0.00, n_pts=22, t=1.6s
  [35/102] NGC4157: best n_shells=0, chi2_r=0.12, gnfw0_gamma=1.06, n_pts=15, t=12.0s
  [36/102] NGC5371: best n_shells=2, chi2_r=1.84, gnfw0_gamma=1.90, n_pts=19, t=6.1s
  [37/102] NGC5907: best n_shells=0, chi2_r=3.08, gnfw0_gamma=1.88, n_pts=19, t=10.3s
  [38/102] NGC5985: best n_shells=1, chi2_r=1.68, gnfw0_gamma=1.41, n_pts=33, t=2.9s
  [39/102] NGC4559: best n_shells=0, chi2_r=0.27, gnfw0_gamma=0.00, n_pts=32, t=25.7s
  [40/102] NGC3521: best n_shells=0, chi2_r=0.24, gnfw0_gamma=1.30, n_pts=41, t=80.0s
  [41/102] NGC6015: best n_shells=2, chi2_r=1.14, gnfw0_gamma=1.00, n_pts=44, t=3.6s
  [42/102] NGC4051: best n_shells=0, chi2_r=0.88, gnfw0_gamma=0.00, n_pts=7, t=45.6s
  [43/102] NGC4088: best n_shells=0, chi2_r=0.29, gnfw0_gamma=0.00, n_pts=9, t=43.2s
  [44/102] NGC6195: best n_shells=1, chi2_r=0.46, gnfw0_gamma=1.04, n_pts=20, t=6.3s
  [45/102] NGC7331: best n_shells=0, chi2_r=0.43, gnfw0_gamma=0.12, n_pts=28, t=3.6s
  [46/102] IC2574: best n_shells=1, chi2_r=0.48, gnfw0_gamma=0.50, n_pts=34, t=106.4s
  [47/102] NGC6674: best n_shells=1, chi2_r=6.16, gnfw0_gamma=1.91, n_pts=15, t=9.8s
  [48/102] NGC6946: best n_shells=1, chi2_r=0.72, gnfw0_gamma=0.00, n_pts=55, t=9.9s
  [49/102] UGC01281: best n_shells=0, chi2_r=0.22, gnfw0_gamma=0.00, n_pts=25, t=4.5s
  [50/102] UGC02885: best n_shells=1, chi2_r=0.51, gnfw0_gamma=1.59, n_pts=19, t=10.3s
  [51/102] NGC7814: best n_shells=1, chi2_r=0.07, gnfw0_gamma=0.00, n_pts=16, t=21.2s
  [52/102] UGC02259: best n_shells=0, chi2_r=0.83, gnfw0_gamma=1.15, n_pts=8, t=19.8s
  [53/102] UGC00128: best n_shells=0, chi2_r=2.55, gnfw0_gamma=1.21, n_pts=22, t=26.6s
  [54/102] UGC04325: best n_shells=1, chi2_r=0.06, gnfw0_gamma=0.00, n_pts=8, t=2.9s
  [55/102] NGC0891: best n_shells=1, chi2_r=0.30, gnfw0_gamma=0.00, n_pts=14, t=136.4s
  [56/102] NGC3198: best n_shells=0, chi2_r=0.80, gnfw0_gamma=0.23, n_pts=40, t=121.6s
  [57/102] UGC05253: best n_shells=1, chi2_r=1.41, gnfw0_gamma=0.00, n_pts=73, t=2.4s
  [58/102] UGC05721: best n_shells=0, chi2_r=0.51, gnfw0_gamma=0.00, n_pts=23, t=3.6s
  [59/102] UGC05716: best n_shells=1, chi2_r=0.41, gnfw0_gamma=0.72, n_pts=12, t=3.8s
  [60/102] NGC5033: best n_shells=0, chi2_r=3.65, gnfw0_gamma=0.00, n_pts=20, t=85.1s
  [61/102] UGC06446: best n_shells=0, chi2_r=0.20, gnfw0_gamma=0.65, n_pts=17, t=3.4s
  [62/102] UGC06667: best n_shells=0, chi2_r=0.32, gnfw0_gamma=0.00, n_pts=9, t=3.1s
  [63/102] NGC2841: best n_shells=1, chi2_r=1.49, gnfw0_gamma=1.84, n_pts=50, t=159.9s
  [64/102] NGC4100: best n_shells=0, chi2_r=0.73, gnfw0_gamma=0.00, n_pts=24, t=106.6s
  [65/102] UGC06818: best n_shells=1, chi2_r=0.45, gnfw0_gamma=0.00, n_pts=8, t=2.7s
  [66/102] NGC0300: best n_shells=0, chi2_r=0.43, gnfw0_gamma=0.17, n_pts=25, t=172.4s
  [67/102] UGC06930: best n_shells=0, chi2_r=0.17, gnfw0_gamma=0.00, n_pts=10, t=5.4s
  [68/102] UGC07125: best n_shells=0, chi2_r=0.44, gnfw0_gamma=0.00, n_pts=13, t=2.6s
  [69/102] UGC07151: best n_shells=1, chi2_r=0.01, gnfw0_gamma=0.00, n_pts=11, t=3.1s
  [70/102] UGC07261: best n_shells=0, chi2_r=0.02, gnfw0_gamma=1.38, n_pts=7, t=3.5s
  [71/102] UGC04499: best n_shells=0, chi2_r=0.44, gnfw0_gamma=0.00, n_pts=9, t=53.6s
  [72/102] UGC07399: best n_shells=0, chi2_r=0.45, gnfw0_gamma=0.06, n_pts=10, t=4.9s
  [73/102] UGC06917: best n_shells=0, chi2_r=0.36, gnfw0_gamma=0.00, n_pts=11, t=20.6s
  [74/102] ESO116-G012: best n_shells=0, chi2_r=1.04, gnfw0_gamma=0.00, n_pts=15, t=192.0s
  [75/102] UGC06983: best n_shells=0, chi2_r=0.46, gnfw0_gamma=0.00, n_pts=17, t=19.6s
  [76/102] UGC04278: best n_shells=0, chi2_r=0.46, gnfw0_gamma=0.62, n_pts=25, t=63.0s
  [77/102] UGC03205: best n_shells=1, chi2_r=1.00, gnfw0_gamma=1.80, n_pts=46, t=68.8s
  [78/102] NGC2403: best n_shells=2, chi2_r=0.80, gnfw0_gamma=1.04, n_pts=73, t=188.5s
  [79/102] NGC6503: best n_shells=1, chi2_r=0.79, gnfw0_gamma=0.30, n_pts=31, t=99.2s
  [80/102] UGC07603: best n_shells=0, chi2_r=0.51, gnfw0_gamma=0.00, n_pts=12, t=11.2s
  [81/102] UGC10310: best n_shells=0, chi2_r=0.30, gnfw0_gamma=0.00, n_pts=7, t=5.4s
  [82/102] UGC08286: best n_shells=1, chi2_r=0.04, gnfw0_gamma=0.00, n_pts=17, t=15.3s
  [83/102] F583-1: best n_shells=0, chi2_r=0.48, gnfw0_gamma=0.00, n_pts=25, t=205.9s
  [84/102] UGC12506: best n_shells=0, chi2_r=0.14, gnfw0_gamma=1.29, n_pts=31, t=2.8s
  [85/102] NGC4217: best n_shells=0, chi2_r=0.72, gnfw0_gamma=0.00, n_pts=11, t=139.1s
  [86/102] NGC0055: best n_shells=0, chi2_r=0.98, gnfw0_gamma=0.00, n_pts=21, t=209.0s
  [87/102] UGC08550: best n_shells=0, chi2_r=0.55, gnfw0_gamma=0.25, n_pts=11, t=23.4s
  [88/102] UGC12632: best n_shells=0, chi2_r=0.10, gnfw0_gamma=0.00, n_pts=15, t=14.0s
  [89/102] UGC02916: best n_shells=1, chi2_r=0.73, gnfw0_gamma=0.00, n_pts=32, t=114.1s
  [90/102] UGCA442: best n_shells=0, chi2_r=0.74, gnfw0_gamma=0.09, n_pts=8, t=22.1s
  [91/102] UGC08699: best n_shells=0, chi2_r=0.51, gnfw0_gamma=1.34, n_pts=37, t=46.2s
  [92/102] UGC05986: best n_shells=1, chi2_r=0.44, gnfw0_gamma=0.00, n_pts=15, t=98.5s
  [93/102] UGC11914: best n_shells=2, chi2_r=0.15, gnfw0_gamma=1.66, n_pts=63, t=57.6s
  [94/102] UGC06399: best n_shells=0, chi2_r=0.17, gnfw0_gamma=0.00, n_pts=9, t=122.9s
