null_type,realization,Galaxy,T,n_pts,n_shells,chi2,bic
scramble,0,ESO079-G014,4,15,0,15.422050582634359,20.83815098483878
scramble,0,ESO116-G012,7,15,0,8.227821408258716,13.643921810463137
scramble,0,ESO563-G021,4,27,2,154.70128104235312,181.06797597038775
scramble,0,F568-V1,7,15,0,1.370769182649293,6.786869584853713
scramble,0,F571-8,5,9,1,3.3097921695872934,14.295915056268392
scramble,0,F571-V1,7,7,0,0.10737293174173408,3.9991932298523607
scramble,0,F574-1,7,14,0,1.119683406897811,6.397798066128328
scramble,0,F583-1,9,25,0,3.691936313699774,10.129687963436176
scramble,0,IC2574,9,34,2,95.07974702626407,123.29063122319337
scramble,0,IC4202,4,29,1,24.613593357651485,41.450072507583855
scramble,0,NGC0024,5,29,0,23.562357379507258,30.296949039480207
scramble,0,NGC0055,9,21,0,13.930604284527288,20.019649159974133
scramble,0,NGC0100,6,21,0,4.408574100501599,10.497618975948445
scramble,0,NGC0247,7,26,2,764.7272413164095,790.7920136205813
scramble,0,NGC0289,4,28,0,63.07419431540981,69.73860333576022
scramble,0,NGC0300,7,25,1,9.08295466636983,25.177333790710833
scramble,0,NGC0801,5,11,1,89.20182557910728,101.19130194309913
scramble,0,NGC0891,3,14,1,26.65903712059695,39.85432376867324
scramble,0,NGC1003,6,36,1,109.88603045515127,127.80362514743182
scramble,0,NGC1090,4,22,1,57.13645748023461,72.59166974702619
scramble,0,NGC2403,6,73,2,2715.285677689343,2749.6093532185305
scramble,0,NGC2683,3,11,0,9.0034794246379,13.799269970234642
scramble,0,NGC2841,3,50,0,302.98349360317553,310.80753961403184
scramble,0,NGC2903,4,29,0,80.23249413583639,86.96708579580934
scramble,0,NGC2976,5,24,0,9.582775260142311,15.938882920838203
scramble,0,NGC2998,5,13,1,254.75159562331416,267.57634241062186
scramble,0,NGC3109,9,25,1,12.655324201912293,28.749703326253297
scramble,0,NGC3198,5,40,0,95.18967543897863,102.5674343472065
scramble,0,NGC3521,4,41,0,22.06356530505776,29.490709438466375
scramble,0,NGC3726,5,12,0,21.204382437939792,26.17419573751579
scramble,0,NGC3769,3,11,0,6.395117552308966,11.190908097905707
scramble,0,NGC3877,5,11,0,6.66012732520739,11.455917870804132
scramble,0,NGC3893,5,10,0,1.6458062395134667,6.250976425501559
scramble,0,NGC3917,6,16,0,6.0888573878744685,11.63403483235403
scramble,0,NGC3949,4,7,0,1.9273578764422332,5.81917817455286
scramble,0,NGC3953,4,8,0,1.0703944710842481,5.22927755444392
scramble,0,NGC3972,4,10,0,17.332537818954343,21.937708004942436
scramble,0,NGC3992,4,9,0,5.96283353462358,10.357282689296019
scramble,0,NGC4010,7,12,1,1.6319913087674647,14.056524557707466
scramble,0,NGC4013,3,36,0,65.69013402013697,72.85717189704918
scramble,0,NGC4051,4,7,0,2.3628773973279,6.2546976954385265
scramble,0,NGC4085,5,5,0,1.058866261445019,4.27774208631322
scramble,0,NGC4088,4,9,0,1.2712509297102386,5.665700084382678
scramble,0,NGC4100,4,24,0,14.238124999970145,20.594232660666037
scramble,0,NGC4157,3,15,0,3.7539247723511697,9.17002517455559
scramble,0,NGC4183,6,23,0,11.511730052090508,17.782718483948805
scramble,0,NGC4217,3,11,0,4.827556728565258,9.623347274162
scramble,0,NGC4559,6,32,0,6.1790064589717275,13.110478264571181
scramble,0,NGC5005,4,13,0,0.1801514864605172,5.310050201383591
scramble,0,NGC5033,5,20,0,62.391688127657254,68.38315267476524
scramble,0,NGC5055,4,22,2,87.37371479223985,112.10205441910638
scramble,0,NGC5371,4,19,2,257.4926309487391,281.0481427820706
scramble,0,NGC5585,7,24,0,153.89912701034663,160.25523467104253
scramble,0,NGC5907,5,19,2,284.9783518889306,308.53386372226214
scramble,0,NGC5985,3,33,1,68.59819138403932,86.08072919137173
scramble,0,NGC6015,6,44,2,1024.7385944943935,1055.0121115657396
scramble,0,NGC6195,3,20,0,25.50325539899492,31.4947199461029
scramble,0,NGC6503,6,31,2,131.24517658215916,158.71707421804032
scramble,0,NGC6674,3,15,1,476.39223962422545,489.9324906297365
scramble,0,NGC6946,6,55,0,47.28616849796562,55.30083486843056
scramble,0,NGC7331,3,28,0,17.301890084582332,23.96629910493274
scramble,0,NGC7814,2,16,0,16.408446991952403,21.953624436431966
scramble,0,UGC00128,8,22,1,218.17189810985212,233.6271103766437
scramble,0,UGC01281,8,25,0,5.283649645182906,11.721401294919307
scramble,0,UGC02259,8,8,0,14.404808054836268,18.56369113819594
scramble,0,UGC02885,5,19,0,51.69358728568954,57.582465244022416
scramble,0,UGC02916,2,32,1,1840.7311786190007,1858.0598581329994
scramble,0,UGC02953,2,106,2,2612.1559795802186,2649.463492333115
scramble,0,UGC03205,2,46,2,676.487385088331,707.1165162602438
scramble,0,UGC04278,7,25,0,17.995132994545575,24.432884644281977
scramble,0,UGC04325,9,8,0,1.4319539404161115,5.590837023775783
scramble,0,UGC04499,8,9,0,1.272001489598389,5.666450644270828
scramble,0,UGC05253,2,73,2,261.86472902988584,296.188404559073
scramble,0,UGC05716,9,12,0,21.09009982858408,26.05991312816008
scramble,0,UGC05721,7,23,0,12.375161664732714,18.646150096591015
scramble,0,UGC05986,9,15,1,21.752500955127296,35.29275196063835
scramble,0,UGC06399,9,9,0,0.34395384156363806,4.738402996236077
scramble,0,UGC06446,7,17,0,8.098262343668818,13.76468903178125
scramble,0,UGC06667,6,9,0,0.4624489726009719,4.856898127273411
scramble,0,UGC06787,2,55,2,715.8156789064988,747.8743443883585
scramble,0,UGC06818,9,8,0,3.8930155290413033,8.051898612400976
scramble,0,UGC06917,9,11,0,2.332782468300715,7.128573013897457
scramble,0,UGC06930,7,10,0,1.2280138911161111,5.833184077104203
scramble,0,UGC06983,6,17,0,4.059159773094041,9.725586461206474
scramble,0,UGC07125,9,13,0,3.6463307040791375,8.776229419002211
scramble,0,UGC07151,6,11,0,3.613600285888247,8.409390831484988
scramble,0,UGC07261,8,7,0,1.1654167935511768,5.057237091661803
scramble,0,UGC07399,8,10,1,7.283580022273217,18.796505487243447
scramble,0,UGC07524,9,31,0,10.967981132431165,17.835955541401457
scramble,0,UGC07603,7,12,0,1.7515427124187084,6.721356011994709
scramble,0,UGC08286,6,17,0,14.908677030820822,20.575103718933256
scramble,0,UGC08490,9,30,0,24.27744372796146,31.079838491285773
scramble,0,UGC08550,7,11,0,6.808837857777173,11.604628403373916
scramble,0,UGC08699,2,37,2,84.99655771230243,113.88390101345622
scramble,0,UGC09037,6,19,0,34.98824589842376,40.87712385675664
scramble,0,UGC09133,2,64,1,1256.5887110843137,1277.383126501112
scramble,0,UGC10310,9,7,0,0.23846711046999416,4.130287408580621
scramble,0,UGC11455,6,33,1,48.19840744916638,65.68094525649879
scramble,0,UGC11914,2,63,1,300.1493038700012,320.86497750195883
scramble,0,UGC12506,6,31,0,17.019738092398704,23.887712501368995
scramble,0,UGC12632,9,15,0,0.7040856455498585,6.120186047754279
scramble,0,UGCA442,9,8,0,2.841220782328231,7.000103865687903
scramble,1,ESO079-G014,4,15,0,12.609258553360986,18.025358955565405
scramble,1,ESO116-G012,7,15,0,6.467044412340757,11.883144814545176
scramble,1,ESO563-G021,4,27,2,94.23951116423706,120.60620609227169
scramble,1,F568-V1,7,15,0,1.010826756883804,6.426927159088224
scramble,1,F571-8,5,9,0,9.009103823204267,13.403552977876707
scramble,1,F571-V1,7,7,0,0.10458428604750651,3.996404584158133
scramble,1,F574-1,7,14,0,0.8742486662271027,6.152363325457619
scramble,1,F583-1,9,25,0,9.871335026656174,16.309086676392575
scramble,1,IC2574,9,34,2,169.5023902890832,197.7132744860125
scramble,1,IC4202,4,29,2,31.685102396186913,58.6234690360787
scramble,1,NGC0024,5,29,0,18.22351092478419,24.95810258475714
scramble,1,NGC0055,9,21,0,15.663937957914948,21.752982833361795
scramble,1,NGC0100,6,21,0,1.6449993355963748,7.734044211043221
scramble,1,NGC0247,7,26,2,139.5169936311968,165.58176593536868
scramble,1,NGC0289,4,28,0,62.302281662332305,68.96669068268271
scramble,1,NGC0300,7,25,0,16.939311223345907,23.37706287308231
scramble,1,NGC0801,5,11,1,102.46600906739138,114.45548543138324
scramble,1,NGC0891,3,14,0,29.922435532313994,35.20055019154451
scramble,1,NGC1003,6,36,2,85.5823256242886,114.25047713193749
scramble,1,NGC1090,4,22,0,104.17167274819485,110.35375765491148
scramble,1,NGC2403,6,73,2,1499.5927287248523,1533.9164042540394
scramble,1,NGC2683,3,11,0,5.894080674790811,10.689871220387552
scramble,1,NGC2841,3,50,0,305.17164643905784,312.99569244991415
scramble,1,NGC2903,4,29,1,101.72867536679668,118.56515451672905
scramble,1,NGC2976,5,24,0,15.811598943644427,22.167706604340317
scramble,1,NGC2998,5,13,1,143.26749232372723,156.0922391110349
scramble,1,NGC3109,9,25,0,15.597529042392672,22.035280692129074
scramble,1,NGC3198,5,40,0,71.634354733333,79.01211364156087
scramble,1,NGC3521,4,41,0,25.60909654966378,33.03624068307239
scramble,1,NGC3726,5,12,0,23.007871684034484,27.977684983610484
scramble,1,NGC3769,3,11,0,5.142153425370867,9.93794397096761
scramble,1,NGC3877,5,11,0,6.945754407045394,11.741544952642135
scramble,1,NGC3893,5,10,0,2.849162663972066,7.454332849960158
scramble,1,NGC3917,6,16,0,6.016171743624804,11.561349188104366
scramble,1,NGC3949,4,7,0,1.7717504077912254,5.663570705901852
scramble,1,NGC3953,4,8,0,0.9963909097035565,5.155273993063228
scramble,1,NGC3972,4,10,0,3.5525736797573297,8.157743865745422
scramble,1,NGC3992,4,9,0,5.438373312955904,9.832822467628343
scramble,1,NGC4010,7,12,0,10.334714061535816,15.304527361111816
scramble,1,NGC4013,3,36,0,68.35565011280903,75.52268798972125
scramble,1,NGC4051,4,7,0,2.2466801330133155,6.138500431123942
scramble,1,NGC4085,5,5,0,0.7814605373539969,4.000336362222198
scramble,1,NGC4088,4,9,0,1.6232249321453667,6.017674086817806
scramble,1,NGC4100,4,24,0,13.205935469371415,19.562043130067305
scramble,1,NGC4157,3,15,0,1.84536651992927,7.26146692213369
scramble,1,NGC4183,6,23,1,4.691226812352231,20.36869789199798
scramble,1,NGC4217,3,11,0,6.964829210784261,11.760619756381002
scramble,1,NGC4559,6,32,0,8.40316864512993,15.334640450729385
scramble,1,NGC5005,4,13,0,0.33912372453834017,5.469022439461414
scramble,1,NGC5033,5,20,0,111.568944788125,117.56040933523298
scramble,1,NGC5055,4,22,1,22.67138755005865,38.12659981685023
scramble,1,NGC5371,4,19,1,212.30293036608697,227.02512526191916
scramble,1,NGC5585,7,24,2,242.48791807830156,267.91234872108515
scramble,1,NGC5907,5,19,1,170.19832131487647,184.92051621070866
scramble,1,NGC5985,3,33,0,81.9058932293854,88.89890835231836
scramble,1,NGC6015,6,44,2,894.2253518006601,924.4988688720061
scramble,1,NGC6195,3,20,0,28.439158284504575,34.43062283161256
scramble,1,NGC6503,6,31,1,115.87697874287709,133.0469147653028
scramble,1,NGC6674,3,15,0,1103.8664551056597,1109.2825555078641
scramble,1,NGC6946,6,55,0,36.64005360325181,44.65471997371675
scramble,1,NGC7331,3,28,0,16.27718927855667,22.941598298907078
scramble,1,NGC7814,2,16,0,13.777331976852965,19.322509421332526
scramble,1,UGC00128,8,22,2,117.42431314465364,142.15265277152017
scramble,1,UGC01281,8,25,1,4.8170363740482625,20.911415498389267
scramble,1,UGC02259,8,8,2,2.6217742725382807,19.257306605976968
scramble,1,UGC02885,5,19,0,55.580142023757276,61.46901998209016
scramble,1,UGC02916,2,32,1,153.0255851086116,170.35426462261023
scramble,1,UGC02953,2,106,1,5839.294282073433,5862.611477543994
scramble,1,UGC03205,2,46,1,778.9561063080321,798.0993132904775
