null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,0,-0.30952380952380953,0.4556448907375822,-0.22149754953244935,0.026011346857231703,32,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.3076923076923077,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,1,-0.19047619047619052,0.6514014957024814,-0.1040931504255162,0.30023987652028805,31,101,0.7777777777777778,9,0.0,10,0.29411764705882354,17,0.23076923076923078,13,0.4375,16,0.21428571428571427,14,0.6666666666666666,6,0.125,16
scramble,2,0.023809523809523815,0.9553740118158806,-0.10418913842920326,0.29979196638383493,28,101,0.7777777777777778,9,0.1,10,0.29411764705882354,17,0.15384615384615385,13,0.125,16,0.35714285714285715,14,0.3333333333333333,6,0.25,16
scramble,3,-0.05988131309566295,0.8879906501125184,-0.07702660208366376,0.4439079958994334,32,101,0.7777777777777778,9,0.0,10,0.29411764705882354,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,4,-0.5389318178609664,0.16811803527951477,-0.22512057338669694,0.023610448790329933,29,101,0.7777777777777778,9,0.2,10,0.29411764705882354,17,0.38461538461538464,13,0.1875,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,5,-0.1666666666666667,0.693238811728395,-0.1718579649156586,0.08571215319956074,30,101,0.7777777777777778,9,0.1,10,0.29411764705882354,17,0.3076923076923077,13,0.3125,16,0.21428571428571427,14,0.5,6,0.125,16
scramble,6,-0.14285714285714288,0.735764859879812,-0.11223309453420158,0.26381321592267976,33,101,0.7777777777777778,9,0.0,10,0.35294117647058826,17,0.38461538461538464,13,0.375,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,7,0.023809523809523815,0.9553740118158806,-0.09740144789816159,0.3325479037405356,31,101,0.7777777777777778,9,0.1,10,0.23529411764705882,17,0.3076923076923077,13,0.3125,16,0.2857142857142857,14,0.3333333333333333,6,0.25,16
scramble,8,-0.15569141404872364,0.7127617079991629,-0.1732730192405549,0.08312589533891081,39,101,0.8888888888888888,9,0.2,10,0.4117647058823529,17,0.46153846153846156,13,0.3125,16,0.21428571428571427,14,0.5,6,0.3125,16
scramble,9,-0.28571428571428575,0.49272624501695717,-0.12125240232308794,0.22709881034461332,32,101,0.7777777777777778,9,0.0,10,0.29411764705882354,17,0.5384615384615384,13,0.1875,16,0.35714285714285715,14,0.16666666666666666,6,0.25,16
scramble,10,-0.19047619047619052,0.6514014957024814,-0.22133066474382326,0.02612677104987771,29,101,0.8888888888888888,9,0.1,10,0.29411764705882354,17,0.3076923076923077,13,0.25,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,11,-0.30952380952380953,0.4556448907375822,-0.089441843971819,0.37374771049710565,29,101,0.6666666666666666,9,0.0,10,0.35294117647058826,17,0.23076923076923078,13,0.3125,16,0.2857142857142857,14,0.16666666666666666,6,0.25,16
scramble,12,-0.261904761904762,0.530922861565801,-0.18059657556969244,0.0707197643021559,33,101,0.7777777777777778,9,0.1,10,0.4117647058823529,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.5,6,0.1875,16
scramble,13,-0.04761904761904763,0.9108491685195836,-0.1513068293685182,0.13094201515931636,31,101,0.8888888888888888,9,0.1,10,0.29411764705882354,17,0.23076923076923078,13,0.3125,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,14,0.04761904761904763,0.9108491685195836,-0.1371312924913778,0.17147870013225314,28,101,0.7777777777777778,9,0.2,10,0.17647058823529413,17,0.3076923076923077,13,0.1875,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,15,-0.28571428571428575,0.49272624501695717,-0.14484851647911573,0.14839506227392354,35,101,0.7777777777777778,9,0.2,10,0.35294117647058826,17,0.3076923076923077,13,0.4375,16,0.14285714285714285,14,0.3333333333333333,6,0.3125,16
scramble,16,-0.19047619047619052,0.6514014957024814,-0.1628314281656289,0.10374894766430408,31,101,0.7777777777777778,9,0.2,10,0.35294117647058826,17,0.15384615384615385,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,17,-0.05988131309566295,0.8879906501125184,-0.1886967476882098,0.058786258138689165,32,101,0.8888888888888888,9,0.1,10,0.4117647058823529,17,0.23076923076923078,13,0.25,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,18,-0.2142857142857143,0.6103444156452669,-0.11182024791455517,0.2655850919731662,30,101,0.6666666666666666,9,0.2,10,0.23529411764705882,17,0.3076923076923077,13,0.25,16,0.35714285714285715,14,0.3333333333333333,6,0.1875,16
scramble,19,0.09523809523809526,0.8225054302036114,-0.11277579061053163,0.26149628576682826,32,101,0.7777777777777778,9,0.2,10,0.23529411764705882,17,0.23076923076923078,13,0.375,16,0.2857142857142857,14,0.3333333333333333,6,0.25,16
scramble,20,-0.4761904761904762,0.23293553465009798,-0.1325347128547953,0.1864297491139091,28,101,0.6666666666666666,9,0.2,10,0.17647058823529413,17,0.23076923076923078,13,0.4375,16,0.21428571428571427,14,0.16666666666666666,6,0.1875,16
