Galaxy,realization,Upsilon_disk,Upsilon_bulge,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
ESO563-G021,0,0.5919251218822835,0.823186890003388,ok,2,27,16275934.118531842,19.250670884756023,23.559715299450406,1.2399850157605476,49.926410227485036,5.999999999999999,49997045452.402626,1.1168109164776658,0.18613515274627768,4.50326472194571,6990653351.573087,0.047282324684767715,0.01049956589368315
NGC0289,0,0.5919251218822835,0.823186890003388,ok,1,28,3513987.8737486913,22.370389150439525,35.59839540729178,1.5477563220561645,52.2594179581678,8.323022488393232,30425393793.342476,1.308608939162674,0.15722761064115573,,,,
F574-1,0,0.5919251218822835,0.823186890003388,ok,0,14,50905060.70043571,3.5948605287017172,1.335078555745269,0.11125654631210574,6.6131932149757855,,,,,,,,
NGC0891,0,0.5919251218822835,0.823186890003388,ok,1,11,2685799.897060925,199.99999999999997,1.2522898077719649,0.20871496796199415,13.241766171763818,9.631745360717863,20239825489.689857,0.762010369321255,0.0791144637636539,,,,
NGC0024,0,0.5919251218822835,0.823186890003388,ok,1,29,475660194.5720326,1.2288922440491028,3.330003670731115,0.1387501529471298,20.166482820663486,9.469447510025173,13297727533.495628,1.8945950547611086,0.20007450833381007,,,,
ESO079-G014,0,0.5919251218822835,0.823186890003388,ok,1,15,6721572.373847414,20.755676749010657,2.914382244458937,0.2914382244458937,16.454633249969987,6.186947791646248,20610759200.182568,1.798177027722915,0.29064040756103565,,,,
F571-8,0,0.5919251218822835,0.823186890003388,ok,1,9,7135652.819532667,18.230284817985723,4.853755277632123,1.2134388194080308,15.839878164313221,6.413149781138899,19013333531.880768,1.7252716654151363,0.26902095293161055,,,,
NGC1003,0,0.5919251218822835,0.823186890003388,ok,1,36,2301892.2012503627,22.615221092835643,29.870952955166988,0.9635791275860319,47.78854764744754,5.406289335757986,8807577120.172794,1.7448413606773348,0.32274287451407746,,,,
NGC0801,0,0.5919251218822835,0.823186890003388,ok,1,11,2398961.310709221,32.239419109702574,5.164378940710012,0.8607298234516687,17.153855304701864,2.072388383253773,9162943492.895014,0.828955353301509,0.39999999999999997,,,,
NGC0100,0,0.5919251218822835,0.823186890003388,ok,0,20,23203509.50425496,5.218257784030049,1.8115687934151112,0.10064271074528396,7.803033340523093,,,,,,,,
IC4202,0,0.5919251218822835,0.823186890003388,ok,1,28,5702327.97170584,28.4271391392554,12.129501062572198,0.5273696114161825,28.790523613448215,5.788736767510319,32707736712.243454,1.6724005052349684,0.28890595174778555,,,,
NGC1090,0,0.5919251218822835,0.823186890003388,ok,1,21,4966273.749807261,17.08310359883552,9.765862090109593,0.6103663806318496,24.988474278726706,4.63065939091907,14096943877.487652,0.8257852050172396,0.1783299386339322,,,,
NGC2683,0,0.5919251218822835,0.823186890003388,ok,0,11,54738839.25632836,5.297165149206704,6.580648527487845,0.7311831697208716,11.376439073084587,,,,,,,,
NGC2841,0,0.5919251218822835,0.823186890003388,ok,1,50,28850073.54038442,13.06194853462676,127.91458309739079,2.8425462910531287,147.47469812453153,4.251519650368383,49999999999.99978,1.506191613287932,0.35427135169360546,,,,
NGC2403,0,0.5919251218822835,0.823186890003388,ok,2,73,9912612.89604437,11.553752160799446,44.3308197191367,0.6820126110636415,78.65449524832383,0.971655626499044,1009117830.1263462,0.3742274467129386,0.38514411537070103,4.509931293233001,7917484281.784636,1.0774891841815866,0.23891476701614556
F568-V1,0,0.5919251218822835,0.823186890003388,ok,0,15,111003565.3442624,3.0124866232394427,0.7075396276912869,0.054426125207022065,6.123640029895707,,,,,,,,
