Galaxy,n_shells,total_shell_mass,total_N_dgc,median_sigma_over_r,logM_halo,logM_star,Vflat,T
ESO079-G014,1,23592931517.633717,1.6358425062733764,0.3170634215684075,12.152458642707415,10.412737668240323,175.0,4
ESO563-G021,2,116783660242.97766,8.097326748940253,0.17868815982574554,12.91662065151034,11.191977493867602,314.6,4
IC2574,1,3756015168.68245,0.26042754638379767,0.1580007356282555,10.889848734752588,8.70586371228392,66.4,9
IC4202,2,37986537415.94734,2.633839399088931,0.07457430467768897,12.578016886240198,10.9536364872814,242.6,4
NGC0024,1,12243933471.15765,0.8489469314626257,0.1854431457408958,11.502944290218425,9.28880794748348,106.3,5
NGC0247,1,1917098879.9608123,0.1329242122465803,0.36982817375178884,11.485670961229207,9.564192460626195,104.9,7
NGC0289,1,127784556416.48854,8.860086287926705,0.17106142706379288,12.059907309860408,10.556694395304326,163.0,4
NGC0801,1,444749503264.436,30.837208235024104,0.4268796065417183,12.45120462430858,11.193917297086106,220.1,5
NGC0891,1,36945088137.846855,2.5616293392254006,0.18528465437164507,12.427308797298258,10.83991777567868,216.1,3
NGC1003,2,28977567489.54568,2.009192312213291,0.24698130202900492,11.545151516990751,9.532754378992498,109.8,6
NGC1090,1,18166554696.77072,1.2595985515113453,0.2229134168650132,12.071049936260628,10.556573850030665,164.4,4
NGC2403,2,57616380359.73895,3.9948966909699473,0.26362445538885,11.77714600176746,9.70074697141346,131.2,6
NGC2841,2,516803705447.8723,35.83316757984667,0.16592359028156986,12.78696445154299,10.97340728300738,284.8,3
NGC2903,1,19597078696.9586,1.3587855458872886,0.29962756715469047,12.222039586718214,10.612057660349793,184.6,4
NGC2998,1,17013768591.965336,1.1796688272431886,0.4772276550226129,12.389381812395737,10.877665000130216,209.9,5
NGC3198,1,677611832848.8344,46.98298039391369,0.30236964201830785,11.952486573378346,10.281930588086734,150.1,5
NGC3521,1,2793545364.806406,0.1936936174098478,0.4326242070091819,12.412758063140744,10.627550187767522,213.7,4
NGC3726,1,17697929226.12658,1.2271058761594464,0.18500540104750782,12.099272341826122,10.545517407601492,168.0,5
NGC4010,1,22534580032.970085,1.5624605128616502,0.27725780554920476,11.722386419976283,9.93432166751343,125.8,7
NGC4013,1,72393896519.89627,5.019512434624325,0.15460762409443288,12.136729476470302,10.597113543892805,172.9,3
NGC5033,2,185555897150.43335,12.865727331149975,0.31503385649703475,12.288092173364491,10.742367653317965,194.2,5
