Galaxy,r_sh,sigma,M_sh,which,sigma_over_r,M_host_at_r,m_single_implied,m_single_frac_host,single_object_plausible,N_implied_typical,cocoon_per_imbh_dgc,N_implied_dgc,sigma_per_contributor_dgc
ESO079-G014,6.361532861964368,2.017009375634286,23592931517.633717,only,0.3170634215684075,25842015150.691006,2471075742.2854257,0.0956224090062632,False,786431050.5877906,14422495703.074087,1.6358425062733764,1.5770198960198356
ESO563-G021,7.725475478158285,2.1100485887098563,98612242877.01892,pair1,0.2731286371532023,131351390208.23898,8028929443.876465,0.06112557644915472,False,3287074762.5672975,14422495703.074087,6.837391038778413,0.8069511536576883
ESO563-G021,4.688902156646915,0.395029140158731,18171417365.95874,pair2,0.08424768249828882,36179161303.49301,64901336.286547944,0.0017938872529994739,False,605713912.1986247,14422495703.074087,1.2599357101618402,0.3519289071034214
IC2574,7.875890798446106,1.2443965398822934,3756015168.68245,only,0.1580007356282555,6105792705.837295,72250463.47542994,0.011833101278783448,False,125200505.62274833,14422495703.074087,0.26042754638379767,1.2443965398822934
IC4202,3.925190794891922,0.0413315454752463,11875405510.50764,pair1,0.010529818201202712,33254577209.93893,116475.69343846105,3.5025462120038466e-06,True,395846850.3502547,14422495703.074087,0.8233946298196125,0.0413315454752463
IC4202,6.29501762097986,0.8726077329144601,26111131905.4397,pair2,0.13861879115417522,71041517691.19614,567675050.4260538,0.007990750604366709,False,870371063.5146567,14422495703.074087,1.8104447692693184,0.6485245441353663
NGC0024,9.44269081898906,1.751082289732007,12243933471.15765,only,0.1854431457408958,25607974353.65787,489924139.2161099,0.019131702197527724,False,408131115.705255,14422495703.074087,0.8489469314626257,1.751082289732007
NGC0247,2.04449829599143,0.7561130710451548,1917098879.9608123,only,0.36982817375178884,1529795833.1989205,232142526.72619134,0.15174739118014427,False,63903295.99869374,14422495703.074087,0.1329242122465803,0.7561130710451548
NGC0289,34.51998736200144,5.90503830036806,127784556416.48854,only,0.17106142706379288,256620703423.31345,3853622935.687689,0.015016804506730985,False,4259485213.8829513,14422495703.074087,8.860086287926705,1.9838267548638666
NGC0801,46.98384379864382,20.056444754582625,444749503264.436,only,0.4268796065417183,501725083383.91785,117085547575.77646,0.2333659437277588,False,14824983442.147865,14422495703.074087,30.837208235024104,3.6117395497755127
